Detector-Descriptor-Distance, Number of matches, TTC #1, TTC #2, TTC #3, TTC #4, TTC #5, TTC #6, TTC #7, TTC #8, TTC #9, TTC #10, TTC #11, TTC #12, TTC #13, TTC #14, TTC #15, TTC #16, TTC #17, TTC #18, TTC #19,
BRISK-SIFT-DES_HOG,31914,0,13.0638,15.4346,15.5819,12.5589,25.5059,12.3427,13.2592,16.4528,15.8428,15.3485,13.6659,11.475,13.0874,10.3283,13.9822,11.0452,9.55914,12.1545, 
BRISK-BRIEF-DES_BINARY,31769,0,12.8986,16.8618,11.6672,20.5163,19.7052,16.1564,15.2997,18.4226,15.4645,11.1502,13.3636,13.6943,11.8785,10.9117,11.054,11.1043,10.9189,10.4698, 
BRISK-BRISK-DES_BINARY,28443,0,13.0638,21.4704,12.5403,15.2031,26.4299,16.6451,16.5987,16.378,13.8959,13.0925,12.273,11.0073,11.8505,12.0376,12.476,11.2969,9.2872,10.9372, 
BRISK-ORB-DES_BINARY,26736,0,14.7279,19.6231,13.2739,16.3706,20.2973,18.8603,15.5199,16.0691,15.0829,11.2619,13.6643,11.0219,11.5189,11.9856,11.4651,11.2864,9.98468,11.4493, 
BRISK-FREAK-DES_BINARY,25577,0,12.3422,23.5592,13.7754,13.6652,23.0697,14.9419,15.4463,18.7714,15.3908,13.8946,12.3783,11.0557,11.4858,11.4007,13.0559,10.2883,9.06002,10.3842, 
FAST-SIFT-DES_HOG,25454,0,11.3362,11.5211,13.691,14.745,28.6149,12.9934,12.2695,12.6027,12.1408,13.8064,14.2159,11.803,12.5265,11.5341,11.3831,11.2503,7.50634,10.7801, 
SHITOMASI-SIFT-DES_HOG,24578,0,14.0041,12.9004,11.6087,12.7506,12.1886,12.8395,13.3235,12.1376,11.9899,13.2068,12.1076,11.5911,11.6575,10.7891,11.9757,10.68,10.7884,9.52513, 
FAST-BRIEF-DES_BINARY,23025,0,11.1376,10.6644,12.7728,13.6612,18.831,12.9991,12.0274,12.0107,12.3427,12.5213,14.1495,11.0543,12.0599,11.7034,11.7009,11.7158,7.51534,11.0738, 
BRISK-BRIEF-DES_HOG,22878,0,12.7898,12.2786,13.7264,15.5762,13.5831,14.9177,12.7611,16.6764,15.2453,10.9339,11.7409,12.7471,13.148,10.3009,11.7954,10.9932,8.47315,10.404, 
SHITOMASI-BRIEF-DES_BINARY,21981,0,13.9019,13.1487,11.4022,13.4685,12.1848,13.0851,18.3368,11.8844,11.6077,13.3448,11.7805,11.6267,11.6886,11.0412,11.2953,11.1041,11.1869,8.14662, 
FAST-ORB-DES_BINARY,21474,0,11.517,10.8658,12.8008,13.177,32.168,12.5645,12.6571,11.9761,12.6165,13.4681,14.0827,11.6118,12.6032,11.1115,10.768,11.3939,9.86808,11.6025, 
AKAZE-SIFT-DES_HOG,21265,0,12.3844,14.504,13.1886,14.1141,16.2213,13.9616,15.7668,13.7661,14.006,11.7502,12.2176,10.9925,10.8611,10.4743,9.81599,9.94565,9.02048,8.96341, 
BRISK-BRISK-DES_HOG,21094,0,12.1177,22.9009,14.4585,16.3046,27.6679,14.6337,15.2636,18.5141,14.7708,12.5735,12.0802,11.2959,12.6239,11.3519,13.0522,11.0861,10.1494,12.3893, 
AKAZE-BRIEF-DES_BINARY,20284,0,13.2771,14.91,13.6728,13.8482,14.5457,13.91,15.9355,14.121,13.5101,11.5913,12.3566,11.5656,10.0979,9.85941,9.27371,9.69977,9.2604,9.15425, 
AKAZE-AKAZE-DES_BINARY,20170,0,12.3315,13.9413,12.8753,14.2488,16.0602,13.8675,15.3462,14.1378,13.8398,11.5483,12.1341,10.9177,11.0846,10.5845,10.0046,9.75125,9.06452,8.97398, 
SHITOMASI-ORB-DES_BINARY,19675,0,13.5351,12.6968,11.4081,12.0792,12.3,13.4234,11.9941,12.1848,11.274,13.1345,11.3027,11.4836,12.3607,11.3471,10.2642,10.8903,10.7263,8.58136, 
SIFT-SIFT-DES_HOG,19237,0,11.5285,12.5726,12.749,18.7942,12.4896,11.1131,13.5735,14.4607,12.6003,10.5698,11.2887,11.0189,9.24828,10.2491,9.77464,8.95836,8.69186,9.01264, 
AKAZE-BRISK-DES_BINARY,18151,0,11.8966,15.6585,13.3659,14.4196,14.7461,14.7084,15.8833,13.9229,13.8234,11.878,12.3627,10.3737,10.0855,10.0383,10.0029,10.3767,9.63699,8.92524, 
FAST-BRISK-DES_BINARY,17736,0,12.3317,12.3453,12.9751,12.8498,0,13.0386,11.9033,11.4394,11.8684,13.3473,12.9492,11.9816,11.9134,11.3487,11.4079,12.2566,9.13967,11.8616, 
AKAZE-ORB-DES_BINARY,17682,0,12.3844,14.8468,13.2795,14.3668,15.8082,13.8327,15.414,13.9679,13.4456,11.5597,12.1404,11.2255,10.0845,10.3482,9.89452,9.64969,9.07217,9.07751, 
AKAZE-AKAZE-DES_HOG,17560,0,12.101,13.9674,12.8667,14.0162,15.1593,13.7623,15.1771,14.1023,13.7975,11.6151,12.2031,10.9887,10.837,10.4786,9.91723,9.72415,9.21884,9.00451, 
AKAZE-FREAK-DES_BINARY,17439,0,12.101,13.9005,13.9402,14.1762,15.8371,14.4455,15.372,14.0701,13.6736,11.7862,12.162,10.7717,10.7833,9.87627,9.62855,10.3531,9.14843,8.79442, 
FAST-BRIEF-DES_HOG,16999,0,10.8098,11.2618,12.8019,13.3192,22.3797,13.2534,11.4717,11.0579,11.8969,13.3412,13.7364,10.7263,11.4314,10.7624,11.3035,11.7812,7.67549,11.6071, 
FAST-FREAK-DES_BINARY,16718,0,11.568,13.8852,13.2171,13.8462,46.5554,12.5009,12.2021,11.5467,12.2131,13.4169,13.0373,12.1376,11.9908,11.2961,10.8115,12.0008,8.66857,12.1113, 
SIFT-BRIEF-DES_BINARY,16619,0,12.1588,12.7487,15.0877,21.4355,13.2197,11.6999,14.1815,15.2572,12.535,10.3097,12.676,10.1382,9.23419,9.2679,9.99598,9.06923,8.94618,8.84124, 
BRISK-FREAK-DES_HOG,16394,0,13.3496,21.2582,12.8237,15.0851,30.7601,13.8342,17.0509,16.5613,15.7997,12.7581,12.6479,12.1826,11.8439,11.5114,13.3707,10.2978,9.73502,9.7749, 
SHITOMASI-BRIEF-DES_HOG,16030,0,14.2952,13.9717,9.94471,11.4788,12.3552,12.7954,13.4924,12.5881,11.7069,13.4042,11.4293,11.2447,12.4169,11.946,11.9757,12.4604,10.7263,8.38114, 
SHITOMASI-FREAK-DES_BINARY,15719,0,13.6661,13.0927,11.0399,12.7779,12.4891,13.9102,12.8908,12.8515,11.6077,13.203,11.328,11.7855,12.26,11.5161,10.1,11.4542,10.8743,8.24847, 
